,YEAR,DOY,OBLAST,C1_peak,C2_width
0,2007,112,20,0.22546555,0.0012580948
1,2009,112,20,0.22546555,0.0012580948
2,2015,112,20,0.22546555,0.0012580948
3,2019,112,20,0.22546555,0.0012580948
4,2002,113,10,3.1444988,-0.0016442034
5,2013,113,10,3.1444988,-0.0016442034
6,2014,113,10,3.1444988,-0.0016442034
7,2018,113,10,3.1444988,-0.0016442034
8,2019,113,10,3.1444988,-0.0016442034
9,2013,113,18,1.8184295,-0.00053065835
10,2019,113,18,1.8184295,-0.00053065835
11,2007,113,20,0.22403076,0.0010413657
12,2009,113,20,0.22403076,0.0010413657
13,2015,113,20,0.22403076,0.0010413657
14,2019,113,20,0.22403076,0.0010413657
15,2002,113,10,3.1444988,-0.0016442034
16,2013,113,10,3.1444988,-0.0016442034
17,2014,113,10,3.1444988,-0.0016442034
18,2018,113,10,3.1444988,-0.0016442034
19,2019,113,10,3.1444988,-0.0016442034
20,2002,114,10,1.6369888,-0.00045748492
21,2013,114,10,1.6369888,-0.00045748492
22,2014,114,10,1.6369888,-0.00045748492
23,2018,114,10,1.6369888,-0.00045748492
24,2019,114,10,1.6369888,-0.00045748492
25,2013,114,18,1.2143521,-0.00019187735
26,2019,114,18,1.2143521,-0.00019187735
27,2007,114,20,0.29178518,0.0010291517
28,2009,114,20,0.29178518,0.0010291517
29,2015,114,20,0.29178518,0.0010291517
30,2019,114,20,0.29178518,0.0010291517
31,2002,114,10,1.6369888,-0.00045748492
32,2013,114,10,1.6369888,-0.00045748492
33,2014,114,10,1.6369888,-0.00045748492
34,2018,114,10,1.6369888,-0.00045748492
35,2019,114,10,1.6369888,-0.00045748492
36,2002,115,10,3.1374516,-0.0015520309
37,2006,115,10,3.1149945,-0.0015424694
38,2007,115,10,2.8387334,-0.0010346853
39,2009,115,10,2.7251577,-0.0009917449
40,2011,115,10,4.1612206,-0.0023183932
41,2012,115,10,3.1374516,-0.0015520309
42,2013,115,10,3.1374516,-0.0015520309
43,2014,115,10,3.1374516,-0.0015520309
44,2015,115,10,3.1305208,-0.0015608879
45,2016,115,10,3.318616,-0.0018368176
46,2017,115,10,3.364627,-0.0019308772
47,2018,115,10,3.1374516,-0.0015520309
48,2019,115,10,3.1374516,-0.0015520309
49,2007,115,5,0.39066753,0.00035069752
50,2019,115,5,0.39066753,0.00035069752
51,2013,115,18,0.6297091,0.0001484924
52,2018,115,18,0.6297091,0.0001484924
53,2019,115,18,0.6297091,0.0001484924
54,2007,115,20,-0.296332,0.001514909
55,2009,115,20,-0.296332,0.001514909
56,2015,115,20,-0.296332,0.001514909
57,2019,115,20,-0.296332,0.001514909
58,2002,115,10,3.1374516,-0.0015520309
59,2006,115,10,3.1149945,-0.0015424694
60,2007,115,10,2.8387334,-0.0010346853
61,2009,115,10,2.7251577,-0.0009917449
62,2011,115,10,4.1612206,-0.0023183932
63,2012,115,10,3.1374516,-0.0015520309
64,2013,115,10,3.1374516,-0.0015520309
65,2014,115,10,3.1374516,-0.0015520309
66,2015,115,10,3.1305208,-0.0015608879
67,2016,115,10,3.318616,-0.0018368176
68,2017,115,10,3.364627,-0.0019308772
69,2018,115,10,3.1374516,-0.0015520309
70,2019,115,10,3.1374516,-0.0015520309
71,2002,116,10,2.5006227,-0.0010692338
72,2006,116,10,2.4782481,-0.0010674188
73,2007,116,10,2.2240374,-0.00054290786
74,2009,116,10,2.1423833,-0.000531306
75,2011,116,10,3.7261562,-0.0019948895
76,2012,116,10,2.5006227,-0.0010692338
